order_number,client_id,price,date,name,birthday,city,discount_rate,year
A421,19f43080-29a9-446d-93d2-c85600f5fc4f,328,2022-11-19,Клиент 25,2003-08-16,Омск,41,2022
A422,c29608d0-f5a8-40a9-8caa-1df5d74aabe5,153,2022-05-03,Клиент 67,1986-06-17,Новосибирск,28,2022
A423,763531f3-1b43-4a55-ab3a-80b05320b7c3,508,2022-05-19,Клиент 20,1978-12-09,Рязань,30,2022
A424,b2a7a983-fbcc-4c0e-8a73-8ae2fb29990f,993,2022-03-10,Клиент 83,1969-05-08,Санкт-Петербург,37,2022
A425,1d782e19-845b-4810-8197-f2090722c268,51,2022-02-02,Клиент 93,1979-03-01,Омск,41,2022
A426,1cbd1897-fb4d-42b4-be34-42340bacdd12,33,2022-07-27,Клиент 99,1977-04-08,Санкт-Петербург,37,2022
A427,314ed1d0-b8a0-4c9b-84e0-1d66d678db68,749,2022-09-15,Клиент 56,1958-03-14,Москва,36,2022
A428,6e9f3596-24ff-424c-bd77-82d8a9aa0ddc,872,2022-06-04,Клиент 38,1952-01-25,Санкт-Петербург,37,2022
A429,7e02d3e9-24c5-4c6a-aeb0-2d27cd681d7c,824,2022-12-22,Клиент 42,1975-09-23,Санкт-Петербург,37,2022
A430,12f1803f-28d6-40d2-bb08-443fcf71a6bd,609,2022-04-02,Клиент 59,1976-08-24,Москва,36,2022
A431,adc33787-36b2-406e-aca0-7bef6436120b,442,2022-04-26,Клиент 27,1960-07-07,Омск,41,2022
A432,ddb826b1-a18c-4a95-ad54-fd2c779d5df3,780,2022-01-30,Клиент 12,1997-09-23,Москва,36,2022
A433,6e9f3596-24ff-424c-bd77-82d8a9aa0ddc,496,2022-08-27,Клиент 38,1952-01-25,Санкт-Петербург,37,2022
A434,72634e02-e4ec-46f4-a542-7c8712f219f8,744,2022-02-06,Клиент 18,1966-05-25,Санкт-Петербург,37,2022
A435,293223d7-ce1d-4963-9749-c097e2440abf,209,2022-06-17,Клиент 13,1961-11-20,Рязань,30,2022
A436,2e17807d-f5b8-40d0-86e7-83650f1e676f,273,2022-10-08,Клиент 4,1998-03-20,Новосибирск,28,2022
A437,f1e1214f-eeb9-4e31-84ef-64802d6a7c78,288,2022-07-24,Клиент 96,1952-12-13,Рязань,30,2022
A438,763531f3-1b43-4a55-ab3a-80b05320b7c3,250,2022-10-15,Клиент 20,1978-12-09,Рязань,30,2022
A439,7b807838-eeeb-4f72-bf0d-b03ef684d4c4,548,2022-01-15,Клиент 65,2010-12-22,Москва,36,2022
A440,b2772ad1-2a59-4be3-bd10-d92e9c2b39ab,705,2022-08-26,Клиент 84,1978-11-09,Рязань,30,2022
A441,adc33787-36b2-406e-aca0-7bef6436120b,984,2022-12-18,Клиент 27,1960-07-07,Омск,41,2022
A442,f308f5d4-98c6-4786-9463-8991e21faed4,84,2022-02-17,Клиент 98,1980-05-21,Санкт-Петербург,37,2022
A443,c57a7ad9-26c4-4be0-b857-7ec1c3ba47c6,785,2022-06-21,Клиент 30,1966-11-10,Рязань,30,2022
A444,f308f5d4-98c6-4786-9463-8991e21faed4,871,2022-12-21,Клиент 98,1980-05-21,Санкт-Петербург,37,2022
A445,216d9c79-b849-4826-ba8f-9711ba0fcefa,229,2022-04-08,Клиент 31,1955-06-22,Рязань,30,2022
A446,f1e1214f-eeb9-4e31-84ef-64802d6a7c78,995,2022-02-05,Клиент 96,1952-12-13,Рязань,30,2022
A447,d66e24bb-0415-438a-bfdf-5c3d993bb48a,868,2022-08-17,Клиент 29,1966-08-06,Омск,41,2022
A448,dc33f6e5-41a4-41f1-9d2a-c80eb625d03f,328,2022-01-25,Клиент 62,1999-10-22,Москва,36,2022
A449,206e5437-09af-4235-aa67-85003a57f2f2,362,2022-07-07,Клиент 80,1977-12-02,Рязань,30,2022
A450,c57a7ad9-26c4-4be0-b857-7ec1c3ba47c6,598,2022-05-04,Клиент 30,1966-11-10,Рязань,30,2022
A451,62c7bb24-ebc3-4de0-b965-2e0ca78ae3fd,189,2022-11-26,Клиент 40,1969-09-10,Новосибирск,28,2022
A452,a4e6cd52-023f-4994-b6c2-d889aea4dd34,909,2022-01-26,Клиент 10,1955-10-03,Новосибирск,28,2022
A453,0fb7f7c5-d239-429b-b402-1bec6aa72b2d,184,2022-03-11,Клиент 5,2009-09-19,Москва,36,2022
A454,5cfd7dd7-44f3-45ac-9dbe-9519450b107f,65,2022-03-27,Клиент 43,1960-07-06,Рязань,30,2022
A455,655155c0-6c6d-476c-9de0-c29b2c6917d5,504,2022-01-10,Клиент 88,1962-04-18,Москва,36,2022
A456,b1113844-4bb7-4866-8917-794fa4d2fbcf,27,2022-11-20,Клиент 76,1991-12-14,Новосибирск,28,2022
A457,4e1fd602-c679-438f-b2c5-b359d7d1e58b,827,2022-11-13,Клиент 41,2000-12-06,Рязань,30,2022
A458,7e02d3e9-24c5-4c6a-aeb0-2d27cd681d7c,225,2022-07-04,Клиент 42,1975-09-23,Санкт-Петербург,37,2022
A459,293223d7-ce1d-4963-9749-c097e2440abf,344,2022-05-04,Клиент 13,1961-11-20,Рязань,30,2022
A460,1751f1a2-7c0f-40d1-ac31-31e49122f7be,943,2022-11-26,Клиент 91,1951-03-03,Рязань,30,2022
A461,b1113844-4bb7-4866-8917-794fa4d2fbcf,800,2022-06-15,Клиент 76,1991-12-14,Новосибирск,28,2022
A462,c29608d0-f5a8-40a9-8caa-1df5d74aabe5,987,2022-09-10,Клиент 67,1986-06-17,Новосибирск,28,2022
A463,b1113844-4bb7-4866-8917-794fa4d2fbcf,313,2022-05-29,Клиент 76,1991-12-14,Новосибирск,28,2022
A464,12f1803f-28d6-40d2-bb08-443fcf71a6bd,495,2022-11-15,Клиент 59,1976-08-24,Москва,36,2022
A465,1cbd1897-fb4d-42b4-be34-42340bacdd12,757,2022-11-24,Клиент 99,1977-04-08,Санкт-Петербург,37,2022
A466,474ffbab-5bed-4667-951c-c7d09e1b0acf,808,2022-10-31,Клиент 57,1986-12-20,Новосибирск,28,2022
A467,50eae8f1-6a18-42d7-b04e-7e1fc5ba2e20,831,2022-01-26,Клиент 71,1995-09-25,Москва,36,2022
A468,2e17807d-f5b8-40d0-86e7-83650f1e676f,145,2022-06-28,Клиент 4,1998-03-20,Новосибирск,28,2022
A469,77ba80e0-24ae-4de7-9e35-39c34f58dbaa,799,2022-05-01,Клиент 3,1984-11-10,Москва,36,2022
A470,815fbf47-4a93-4bd1-8165-4d59a9945990,101,2022-08-26,Клиент 50,1995-01-25,Новосибирск,28,2022
A471,62c7bb24-ebc3-4de0-b965-2e0ca78ae3fd,71,2022-03-25,Клиент 40,1969-09-10,Новосибирск,28,2022
A472,d84c1eb1-f5e9-41c8-9c8d-4d27c137721c,716,2022-04-24,Клиент 63,1985-04-08,Новосибирск,28,2022
A473,9ced20f2-f69e-4f4e-8305-249c2eb111cd,702,2022-11-25,Клиент 54,1953-04-03,Санкт-Петербург,37,2022
A474,a4c0cac6-c545-4305-b420-a425fba9bce7,970,2022-12-14,Клиент 37,1963-02-06,Москва,36,2022
A475,7ac66cf7-d489-45a7-bf92-2d8d0eccf9cf,398,2022-01-29,Клиент 39,1961-05-21,Санкт-Петербург,37,2022
A476,86f52483-c6ca-4832-9adb-d838c21bf8ca,757,2022-08-20,Клиент 46,2010-06-20,Омск,41,2022
A477,1751f1a2-7c0f-40d1-ac31-31e49122f7be,917,2022-01-05,Клиент 91,1951-03-03,Рязань,30,2022
A478,77ba80e0-24ae-4de7-9e35-39c34f58dbaa,400,2022-02-24,Клиент 3,1984-11-10,Москва,36,2022
A479,c29608d0-f5a8-40a9-8caa-1df5d74aabe5,986,2022-11-21,Клиент 67,1986-06-17,Новосибирск,28,2022
A480,44fa35b5-c799-463e-bcb4-a460ae4c3290,338,2022-08-17,Клиент 70,1989-09-15,Омск,41,2022
A481,3f95cb87-c246-42eb-98d8-c398e4d07a62,463,2022-09-19,Клиент 21,1972-05-12,Новосибирск,28,2022
A482,c29608d0-f5a8-40a9-8caa-1df5d74aabe5,501,2022-07-03,Клиент 67,1986-06-17,Новосибирск,28,2022
A483,b589fbac-5841-4a78-a8c0-d70dc041200d,609,2022-04-17,Клиент 44,2005-08-18,Рязань,30,2022
A484,eb993948-9104-4f2e-bec1-d02ad867f8ad,751,2022-05-25,Клиент 87,1967-04-20,Омск,41,2022
A485,3f5d2ddb-394a-4dc0-8ee6-6fd757084638,298,2022-03-27,Клиент 35,2007-09-06,Омск,41,2022
A486,86f52483-c6ca-4832-9adb-d838c21bf8ca,707,2022-11-25,Клиент 46,2010-06-20,Омск,41,2022
A487,a216b9bf-45d6-4c67-a1c8-bf5688a8a6fc,671,2022-09-06,Клиент 26,1976-05-10,Рязань,30,2022
A488,28bdef79-d755-4faa-bfe1-e520abd42e56,569,2022-12-01,Клиент 94,2004-10-22,Москва,36,2022
A489,3f5d2ddb-394a-4dc0-8ee6-6fd757084638,202,2022-06-28,Клиент 35,2007-09-06,Омск,41,2022
A490,2dda0e1a-69fc-4894-ae3e-83e4081526ac,640,2022-08-16,Клиент 23,1983-10-22,Новосибирск,28,2022
A491,db935903-dd3e-4960-85d8-9ea5335b6f29,911,2022-12-06,Клиент 95,1995-05-07,Омск,41,2022
A492,b1113844-4bb7-4866-8917-794fa4d2fbcf,646,2022-09-09,Клиент 76,1991-12-14,Новосибирск,28,2022
A493,40b78282-b558-486c-b0d3-0d6ff84dc360,376,2022-03-03,Клиент 81,1999-03-22,Москва,36,2022
A494,206e5437-09af-4235-aa67-85003a57f2f2,868,2022-05-07,Клиент 80,1977-12-02,Рязань,30,2022
A495,d84c1eb1-f5e9-41c8-9c8d-4d27c137721c,192,2022-03-24,Клиент 63,1985-04-08,Новосибирск,28,2022
A496,a4c0cac6-c545-4305-b420-a425fba9bce7,190,2022-09-13,Клиент 37,1963-02-06,Москва,36,2022
A497,655155c0-6c6d-476c-9de0-c29b2c6917d5,897,2022-01-04,Клиент 88,1962-04-18,Москва,36,2022
A498,ddb826b1-a18c-4a95-ad54-fd2c779d5df3,721,2022-08-25,Клиент 12,1997-09-23,Москва,36,2022
A499,d4fe3772-7d19-40a0-a868-ee003cceeaf4,248,2022-02-18,Клиент 74,1973-01-03,Новосибирск,28,2022
A500,1d35f8c6-40b9-4e0c-9355-4150182a3991,461,2022-05-08,Клиент 33,2004-05-05,Омск,41,2022
A501,6a7f3add-e606-4442-8fb4-e6d0f1fb5096,572,2022-06-24,Клиент 2,2002-02-17,Рязань,30,2022
A502,206e5437-09af-4235-aa67-85003a57f2f2,117,2022-10-31,Клиент 80,1977-12-02,Рязань,30,2022
A503,1b6bce7c-8a6d-474d-853c-dcdc73191cce,291,2022-05-15,Клиент 78,1995-01-05,Санкт-Петербург,37,2022
A504,d2fdd32e-6735-4125-bf84-3534d0b46dd1,545,2022-10-24,Клиент 36,1957-11-17,Новосибирск,28,2022
A505,bc6cd679-a1c3-4002-89f0-9d3f77725b1b,893,2022-12-26,Клиент 34,1954-12-26,Новосибирск,28,2022
A506,e960b580-dfab-4ade-8775-573f51141494,838,2022-11-12,Клиент 69,1997-11-22,Новосибирск,28,2022
A507,226c4242-cb78-4f14-a0b3-e3d47f971e65,739,2022-05-03,Клиент 90,1987-08-01,Омск,41,2022
A508,d2fdd32e-6735-4125-bf84-3534d0b46dd1,22,2022-10-02,Клиент 36,1957-11-17,Новосибирск,28,2022
A509,bc8ed658-2b87-4abf-832e-f047088492bd,496,2022-01-11,Клиент 45,1982-08-10,Омск,41,2022
A510,083b6b64-cfd1-4e6d-b8c9-cfc2b2899da5,467,2022-08-11,Клиент 79,1950-07-24,Рязань,30,2022
A511,cf8abd58-0113-409a-b3ec-579cef6e046d,702,2022-07-22,Клиент 11,2010-04-11,Рязань,30,2022
A512,926c400e-e774-4e19-972b-c35c5e3cbfb0,484,2022-03-01,Клиент 49,1979-03-18,Москва,36,2022
A513,77ba80e0-24ae-4de7-9e35-39c34f58dbaa,458,2022-03-27,Клиент 3,1984-11-10,Москва,36,2022
A514,29976bd7-d71a-43a6-9404-f3b5e920d76e,523,2022-02-12,Клиент 66,1979-10-12,Омск,41,2022
A515,bdeaefcc-7ac9-4e32-9de1-05ea68f361f2,481,2022-04-03,Клиент 60,1993-03-10,Санкт-Петербург,37,2022
A516,1d782e19-845b-4810-8197-f2090722c268,578,2022-12-10,Клиент 93,1979-03-01,Омск,41,2022
A517,815fbf47-4a93-4bd1-8165-4d59a9945990,629,2022-08-16,Клиент 50,1995-01-25,Новосибирск,28,2022
A518,cf8abd58-0113-409a-b3ec-579cef6e046d,470,2022-02-28,Клиент 11,2010-04-11,Рязань,30,2022
A519,314ed1d0-b8a0-4c9b-84e0-1d66d678db68,651,2022-06-02,Клиент 56,1958-03-14,Москва,36,2022
A520,12f1803f-28d6-40d2-bb08-443fcf71a6bd,64,2022-04-03,Клиент 59,1976-08-24,Москва,36,2022
A521,216d9c79-b849-4826-ba8f-9711ba0fcefa,911,2022-09-25,Клиент 31,1955-06-22,Рязань,30,2022
A522,ba596613-2837-4f10-b401-ddc1638ef6c3,870,2022-11-30,Клиент 7,1998-07-30,Рязань,30,2022
A523,2dda0e1a-69fc-4894-ae3e-83e4081526ac,500,2022-08-28,Клиент 23,1983-10-22,Новосибирск,28,2022
A524,bee0c8d2-efd5-4d39-a5ac-49b65888bb43,303,2022-09-03,Клиент 85,1971-02-22,Санкт-Петербург,37,2022
A525,bc8ed658-2b87-4abf-832e-f047088492bd,944,2022-07-31,Клиент 45,1982-08-10,Омск,41,2022
A526,b2772ad1-2a59-4be3-bd10-d92e9c2b39ab,685,2022-03-20,Клиент 84,1978-11-09,Рязань,30,2022
A527,2dda0e1a-69fc-4894-ae3e-83e4081526ac,821,2022-07-29,Клиент 23,1983-10-22,Новосибирск,28,2022
A528,3a63dc54-4171-44df-b611-05fc6835799e,979,2022-03-06,Клиент 68,2004-11-14,Москва,36,2022
A529,b589fbac-5841-4a78-a8c0-d70dc041200d,222,2022-05-20,Клиент 44,2005-08-18,Рязань,30,2022
A530,4e1fd602-c679-438f-b2c5-b359d7d1e58b,385,2022-11-26,Клиент 41,2000-12-06,Рязань,30,2022
A531,b1113844-4bb7-4866-8917-794fa4d2fbcf,962,2022-07-25,Клиент 76,1991-12-14,Новосибирск,28,2022
A532,62612b69-051a-4e9c-9570-5b0aea82bb2d,853,2022-12-07,Клиент 64,1959-03-29,Новосибирск,28,2022
A533,12f1803f-28d6-40d2-bb08-443fcf71a6bd,990,2022-01-15,Клиент 59,1976-08-24,Москва,36,2022
A534,1751f1a2-7c0f-40d1-ac31-31e49122f7be,247,2022-11-02,Клиент 91,1951-03-03,Рязань,30,2022
A535,ab313ab0-dd5d-4eaa-a3f7-06df35ddb1d5,619,2022-04-28,Клиент 51,1963-06-11,Москва,36,2022
A536,ab313ab0-dd5d-4eaa-a3f7-06df35ddb1d5,949,2022-01-03,Клиент 51,1963-06-11,Москва,36,2022
A537,5d45cdf1-4e3b-443b-8495-ca498ed8bc3c,38,2022-10-13,Клиент 17,2003-07-24,Омск,41,2022
A538,293223d7-ce1d-4963-9749-c097e2440abf,491,2022-01-07,Клиент 13,1961-11-20,Рязань,30,2022
A539,293223d7-ce1d-4963-9749-c097e2440abf,883,2022-04-10,Клиент 13,1961-11-20,Рязань,30,2022
A540,3f95cb87-c246-42eb-98d8-c398e4d07a62,415,2022-06-06,Клиент 21,1972-05-12,Новосибирск,28,2022
A541,7b807838-eeeb-4f72-bf0d-b03ef684d4c4,345,2022-01-16,Клиент 65,2010-12-22,Москва,36,2022
A542,4e1fd602-c679-438f-b2c5-b359d7d1e58b,733,2022-02-01,Клиент 41,2000-12-06,Рязань,30,2022
A543,44fa35b5-c799-463e-bcb4-a460ae4c3290,530,2022-12-18,Клиент 70,1989-09-15,Омск,41,2022
A544,cb49a63e-2fc8-49df-a08d-c34adc4a6da4,710,2022-02-27,Клиент 89,1960-07-07,Москва,36,2022
A545,384f440d-bd59-4c27-8e2a-0bad07d0a670,153,2022-03-02,Клиент 73,1952-04-02,Омск,41,2022
A546,984b1240-267a-44c1-b8cd-d430a7c75b01,753,2022-08-04,Клиент 72,1997-04-23,Новосибирск,28,2022
A547,b16a7054-5b4b-4adb-83af-ad6dd132c28f,164,2022-03-29,Клиент 52,1973-01-19,Рязань,30,2022
A548,77ba80e0-24ae-4de7-9e35-39c34f58dbaa,898,2022-07-06,Клиент 3,1984-11-10,Москва,36,2022
A549,44fa35b5-c799-463e-bcb4-a460ae4c3290,366,2022-08-20,Клиент 70,1989-09-15,Омск,41,2022
A550,1d782e19-845b-4810-8197-f2090722c268,54,2022-10-05,Клиент 93,1979-03-01,Омск,41,2022
A551,c95a8db2-1ef2-48a7-8357-0eee018d636c,737,2022-05-04,Клиент 6,1962-09-08,Рязань,30,2022
A552,40b78282-b558-486c-b0d3-0d6ff84dc360,130,2022-07-05,Клиент 81,1999-03-22,Москва,36,2022
A553,72634e02-e4ec-46f4-a542-7c8712f219f8,948,2022-01-20,Клиент 18,1966-05-25,Санкт-Петербург,37,2022
A554,f308f5d4-98c6-4786-9463-8991e21faed4,59,2022-10-04,Клиент 98,1980-05-21,Санкт-Петербург,37,2022
A555,b16a7054-5b4b-4adb-83af-ad6dd132c28f,630,2022-04-11,Клиент 52,1973-01-19,Рязань,30,2022
A556,2e17807d-f5b8-40d0-86e7-83650f1e676f,343,2022-12-30,Клиент 4,1998-03-20,Новосибирск,28,2022
A557,d84c1eb1-f5e9-41c8-9c8d-4d27c137721c,763,2022-12-19,Клиент 63,1985-04-08,Новосибирск,28,2022
A558,cb49a63e-2fc8-49df-a08d-c34adc4a6da4,920,2022-01-19,Клиент 89,1960-07-07,Москва,36,2022
A559,b88d78ab-90f2-4401-bd9d-6f57a8eca5c3,809,2022-11-30,Клиент 19,1976-03-08,Москва,36,2022
A560,d2fdd32e-6735-4125-bf84-3534d0b46dd1,268,2022-03-01,Клиент 36,1957-11-17,Новосибирск,28,2022
A561,62612b69-051a-4e9c-9570-5b0aea82bb2d,864,2022-03-22,Клиент 64,1959-03-29,Новосибирск,28,2022
A562,62c7bb24-ebc3-4de0-b965-2e0ca78ae3fd,326,2022-06-03,Клиент 40,1969-09-10,Новосибирск,28,2022
A563,1751f1a2-7c0f-40d1-ac31-31e49122f7be,655,2022-11-16,Клиент 91,1951-03-03,Рязань,30,2022
A564,1d35f8c6-40b9-4e0c-9355-4150182a3991,797,2022-04-01,Клиент 33,2004-05-05,Омск,41,2022
A565,2e17807d-f5b8-40d0-86e7-83650f1e676f,744,2022-04-18,Клиент 4,1998-03-20,Новосибирск,28,2022
A566,3c22aa6b-5f58-4c99-a6b0-6d240b5b6374,114,2022-03-03,Клиент 48,1972-01-26,Новосибирск,28,2022
A567,d4fe3772-7d19-40a0-a868-ee003cceeaf4,775,2022-08-05,Клиент 74,1973-01-03,Новосибирск,28,2022
A568,bc8ed658-2b87-4abf-832e-f047088492bd,605,2022-12-26,Клиент 45,1982-08-10,Омск,41,2022
A569,3fb4e004-de74-4ce3-9180-90e1788f7dfb,428,2022-04-20,Клиент 22,1996-07-09,Москва,36,2022
A570,5cfd7dd7-44f3-45ac-9dbe-9519450b107f,817,2022-02-11,Клиент 43,1960-07-06,Рязань,30,2022
A571,655155c0-6c6d-476c-9de0-c29b2c6917d5,969,2022-09-07,Клиент 88,1962-04-18,Москва,36,2022
A572,bc6cd679-a1c3-4002-89f0-9d3f77725b1b,604,2022-11-15,Клиент 34,1954-12-26,Новосибирск,28,2022
A573,f54c11c1-a696-4c45-9ffa-9a2c1e702cb3,205,2022-05-13,Клиент 0,1991-02-04,Новосибирск,28,2022
A574,ad84dff0-e508-418f-a979-f8ab512d7d8b,70,2022-03-19,Клиент 28,1999-07-01,Рязань,30,2022
A575,e960b580-dfab-4ade-8775-573f51141494,27,2022-01-19,Клиент 69,1997-11-22,Новосибирск,28,2022
A576,1d782e19-845b-4810-8197-f2090722c268,926,2022-03-29,Клиент 93,1979-03-01,Омск,41,2022
A577,3fb4e004-de74-4ce3-9180-90e1788f7dfb,660,2022-11-28,Клиент 22,1996-07-09,Москва,36,2022
A578,ab313ab0-dd5d-4eaa-a3f7-06df35ddb1d5,84,2022-08-30,Клиент 51,1963-06-11,Москва,36,2022
A579,9ced20f2-f69e-4f4e-8305-249c2eb111cd,870,2022-04-15,Клиент 54,1953-04-03,Санкт-Петербург,37,2022
A580,655155c0-6c6d-476c-9de0-c29b2c6917d5,804,2022-01-20,Клиент 88,1962-04-18,Москва,36,2022
A581,575eab93-45c1-4327-b57b-ad359da78ac5,209,2022-02-19,Клиент 55,1959-10-09,Рязань,30,2022
A582,3c22aa6b-5f58-4c99-a6b0-6d240b5b6374,163,2022-01-04,Клиент 48,1972-01-26,Новосибирск,28,2022
A583,b16a7054-5b4b-4adb-83af-ad6dd132c28f,609,2022-12-05,Клиент 52,1973-01-19,Рязань,30,2022
A584,cb49a63e-2fc8-49df-a08d-c34adc4a6da4,463,2022-04-23,Клиент 89,1960-07-07,Москва,36,2022
A585,cf8abd58-0113-409a-b3ec-579cef6e046d,858,2022-07-06,Клиент 11,2010-04-11,Рязань,30,2022
A586,d4fe3772-7d19-40a0-a868-ee003cceeaf4,544,2022-01-05,Клиент 74,1973-01-03,Новосибирск,28,2022
A587,575eab93-45c1-4327-b57b-ad359da78ac5,324,2022-02-28,Клиент 55,1959-10-09,Рязань,30,2022
A588,a216b9bf-45d6-4c67-a1c8-bf5688a8a6fc,824,2022-03-11,Клиент 26,1976-05-10,Рязань,30,2022
A589,62612b69-051a-4e9c-9570-5b0aea82bb2d,113,2022-07-21,Клиент 64,1959-03-29,Новосибирск,28,2022
A590,b589fbac-5841-4a78-a8c0-d70dc041200d,700,2022-12-29,Клиент 44,2005-08-18,Рязань,30,2022
A591,ab313ab0-dd5d-4eaa-a3f7-06df35ddb1d5,655,2022-09-08,Клиент 51,1963-06-11,Москва,36,2022
A592,bdeaefcc-7ac9-4e32-9de1-05ea68f361f2,230,2022-08-30,Клиент 60,1993-03-10,Санкт-Петербург,37,2022
A593,6a7f3add-e606-4442-8fb4-e6d0f1fb5096,325,2022-07-03,Клиент 2,2002-02-17,Рязань,30,2022
A594,a4c0cac6-c545-4305-b420-a425fba9bce7,870,2022-01-29,Клиент 37,1963-02-06,Москва,36,2022
A595,bdeaefcc-7ac9-4e32-9de1-05ea68f361f2,178,2022-05-01,Клиент 60,1993-03-10,Санкт-Петербург,37,2022
A596,caa30c78-aa6a-4382-8d21-188952c4083b,20,2022-01-17,Клиент 8,1969-09-06,Новосибирск,28,2022
A597,db935903-dd3e-4960-85d8-9ea5335b6f29,577,2022-04-03,Клиент 95,1995-05-07,Омск,41,2022
A598,c57a7ad9-26c4-4be0-b857-7ec1c3ba47c6,57,2022-12-27,Клиент 30,1966-11-10,Рязань,30,2022
A599,c57a7ad9-26c4-4be0-b857-7ec1c3ba47c6,166,2022-09-17,Клиент 30,1966-11-10,Рязань,30,2022
A600,40b78282-b558-486c-b0d3-0d6ff84dc360,777,2022-05-17,Клиент 81,1999-03-22,Москва,36,2022
A601,77ba80e0-24ae-4de7-9e35-39c34f58dbaa,724,2022-04-24,Клиент 3,1984-11-10,Москва,36,2022
A602,7e02d3e9-24c5-4c6a-aeb0-2d27cd681d7c,456,2022-06-19,Клиент 42,1975-09-23,Санкт-Петербург,37,2022
A603,12f1803f-28d6-40d2-bb08-443fcf71a6bd,630,2022-08-06,Клиент 59,1976-08-24,Москва,36,2022
A604,7ac66cf7-d489-45a7-bf92-2d8d0eccf9cf,837,2022-05-31,Клиент 39,1961-05-21,Санкт-Петербург,37,2022
A605,0fb7f7c5-d239-429b-b402-1bec6aa72b2d,356,2022-07-17,Клиент 5,2009-09-19,Москва,36,2022
A606,c57a7ad9-26c4-4be0-b857-7ec1c3ba47c6,48,2022-07-16,Клиент 30,1966-11-10,Рязань,30,2022
A607,575eab93-45c1-4327-b57b-ad359da78ac5,85,2022-07-04,Клиент 55,1959-10-09,Рязань,30,2022
A608,b88d78ab-90f2-4401-bd9d-6f57a8eca5c3,578,2022-12-08,Клиент 19,1976-03-08,Москва,36,2022
A609,7b807838-eeeb-4f72-bf0d-b03ef684d4c4,585,2022-08-13,Клиент 65,2010-12-22,Москва,36,2022
A610,bdeaefcc-7ac9-4e32-9de1-05ea68f361f2,662,2022-10-15,Клиент 60,1993-03-10,Санкт-Петербург,37,2022
A611,083b6b64-cfd1-4e6d-b8c9-cfc2b2899da5,110,2022-10-24,Клиент 79,1950-07-24,Рязань,30,2022
A612,dc33f6e5-41a4-41f1-9d2a-c80eb625d03f,830,2022-01-26,Клиент 62,1999-10-22,Москва,36,2022
A613,c95a8db2-1ef2-48a7-8357-0eee018d636c,915,2022-07-16,Клиент 6,1962-09-08,Рязань,30,2022
A614,0fb7f7c5-d239-429b-b402-1bec6aa72b2d,503,2022-12-26,Клиент 5,2009-09-19,Москва,36,2022
A615,926c400e-e774-4e19-972b-c35c5e3cbfb0,901,2022-06-11,Клиент 49,1979-03-18,Москва,36,2022
A616,c95a8db2-1ef2-48a7-8357-0eee018d636c,703,2022-07-11,Клиент 6,1962-09-08,Рязань,30,2022
A617,950e0357-06da-4291-83ac-1884b17567cb,168,2022-10-09,Клиент 97,1959-03-25,Москва,36,2022
A618,a4c0cac6-c545-4305-b420-a425fba9bce7,969,2022-12-20,Клиент 37,1963-02-06,Москва,36,2022
A619,cb49a63e-2fc8-49df-a08d-c34adc4a6da4,263,2022-06-17,Клиент 89,1960-07-07,Москва,36,2022
A620,29976bd7-d71a-43a6-9404-f3b5e920d76e,496,2022-08-29,Клиент 66,1979-10-12,Омск,41,2022
A621,950e0357-06da-4291-83ac-1884b17567cb,897,2022-02-26,Клиент 97,1959-03-25,Москва,36,2022
A622,d84c1eb1-f5e9-41c8-9c8d-4d27c137721c,623,2022-02-16,Клиент 63,1985-04-08,Новосибирск,28,2022
A623,ddb826b1-a18c-4a95-ad54-fd2c779d5df3,448,2022-03-23,Клиент 12,1997-09-23,Москва,36,2022
A624,1b6bce7c-8a6d-474d-853c-dcdc73191cce,835,2022-09-02,Клиент 78,1995-01-05,Санкт-Петербург,37,2022
A625,7e02d3e9-24c5-4c6a-aeb0-2d27cd681d7c,137,2022-07-02,Клиент 42,1975-09-23,Санкт-Петербург,37,2022
A626,62c7bb24-ebc3-4de0-b965-2e0ca78ae3fd,474,2022-04-27,Клиент 40,1969-09-10,Новосибирск,28,2022
A627,62612b69-051a-4e9c-9570-5b0aea82bb2d,716,2022-07-06,Клиент 64,1959-03-29,Новосибирск,28,2022
A628,cf8abd58-0113-409a-b3ec-579cef6e046d,829,2022-12-03,Клиент 11,2010-04-11,Рязань,30,2022
A629,3fb4e004-de74-4ce3-9180-90e1788f7dfb,920,2022-06-12,Клиент 22,1996-07-09,Москва,36,2022
A630,1d782e19-845b-4810-8197-f2090722c268,675,2022-07-28,Клиент 93,1979-03-01,Омск,41,2022
A631,bc8ed658-2b87-4abf-832e-f047088492bd,701,2022-06-19,Клиент 45,1982-08-10,Омск,41,2022
A632,ba596613-2837-4f10-b401-ddc1638ef6c3,818,2022-10-10,Клиент 7,1998-07-30,Рязань,30,2022
A633,b589fbac-5841-4a78-a8c0-d70dc041200d,811,2022-04-08,Клиент 44,2005-08-18,Рязань,30,2022
A634,d66e24bb-0415-438a-bfdf-5c3d993bb48a,107,2022-10-05,Клиент 29,1966-08-06,Омск,41,2022
A635,950e0357-06da-4291-83ac-1884b17567cb,555,2022-09-29,Клиент 97,1959-03-25,Москва,36,2022
A636,77ba80e0-24ae-4de7-9e35-39c34f58dbaa,109,2022-01-01,Клиент 3,1984-11-10,Москва,36,2022
A637,d66e24bb-0415-438a-bfdf-5c3d993bb48a,415,2022-03-12,Клиент 29,1966-08-06,Омск,41,2022
